epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.0376,0.46072,0.85953,1,0.33345,0.000548633,0.000548633,0.000548633
2,52.6224,0.37457,0.87344,1,0.28862,0.00109701,0.00109701,0.00109701
3,77.8281,0.39925,0.758,1,0.47892,0.00163805,0.00163805,0.00163805
4,103.025,0.40894,0.82754,1,0.39708,0.00163399,0.00163399,0.00163399
5,128.291,0.37139,0.86926,1,0.31344,0.00162299,0.00162299,0.00162299
6,153.629,0.3481,0.8484,1,0.31581,0.00161199,0.00161199,0.00161199
7,178.834,0.30595,0.85535,1,0.40213,0.00160099,0.00160099,0.00160099
8,204.059,0.30897,0.88873,1,0.2743,0.00158998,0.00158998,0.00158998
9,229.06,0.26475,0.89291,1,0.29035,0.00157898,0.00157898,0.00157898
10,254.684,0.27318,0.8484,1,0.34738,0.00156798,0.00156798,0.00156798
11,281.287,0.27577,0.8943,1,0.28665,0.00155698,0.00155698,0.00155698
12,306.979,0.25144,0.88595,1,0.30166,0.00154598,0.00154598,0.00154598
13,332.466,0.24316,0.89847,1,0.20875,0.00153497,0.00153497,0.00153497
14,357.313,0.23948,0.8637,1,0.35086,0.00152397,0.00152397,0.00152397
15,382.343,0.2185,0.91099,1,0.25269,0.00151297,0.00151297,0.00151297
16,407.528,0.19557,0.91655,1,0.24925,0.00150197,0.00150197,0.00150197
17,432.588,0.23364,0.89708,1,0.24211,0.00149096,0.00149096,0.00149096
18,457.453,0.19817,0.92907,1,0.18674,0.00147996,0.00147996,0.00147996
19,482.877,0.20878,0.9096,1,0.22411,0.00146896,0.00146896,0.00146896
20,508.372,0.19041,0.89152,1,0.29743,0.00145796,0.00145796,0.00145796
21,534.039,0.18793,0.94298,1,0.16291,0.00144696,0.00144696,0.00144696
22,559.337,0.16384,0.94298,1,0.17668,0.00143595,0.00143595,0.00143595
23,584.775,0.18287,0.91933,1,0.24209,0.00142495,0.00142495,0.00142495
24,609.409,0.18029,0.94019,1,0.15711,0.00141395,0.00141395,0.00141395
